Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Shai Gilgeous-Alexander,27,OKC,PG,5,5,193,11.8,22.8,0.516,1.3,5.6,0.233,10.4,17.2,0.609,0.545,7.6,9,0.854,0.2,5.6,5.8,5,1.3,1.3,2.2,1.9,32.5,NA
2,Austin Reaves,27,LAL,SG,5,5,191,9.8,18.7,0.525,2.8,7.4,0.385,7,11.3,0.617,0.601,9.8,10.9,0.897,0.4,4.9,5.3,9.4,1.7,0,3.6,1.9,32.2,NA
3,Zach LaVine,30,SAC,SG,5,5,183,10.4,19.3,0.541,3.1,8.3,0.381,7.3,11,0.661,0.622,4.7,4.9,0.96,0.2,2.8,3,1.6,0.4,0.2,2.2,1.8,28.7,NA
4,DeMar DeRozan,36,SAC,SF,5,5,182,7.1,14.2,0.5,0.6,2,0.3,6.5,12.3,0.532,0.521,4,5.3,0.741,0.6,3.8,4.4,5.1,1.4,0.2,1,1.4,18.8,NA
5,Luguentz Dort,26,OKC,SF,5,5,182,2.4,8.5,0.279,1,5.5,0.179,1.4,3,0.467,0.337,1.6,1.6,1,1.6,3.6,5.1,2,1,0,1,3,7.3,NA
6,Devin Booker,29,PHO,SG,5,5,181,9.1,19.3,0.474,2.6,7,0.371,6.6,12.3,0.532,0.541,8.2,9.9,0.82,1.6,2.4,4,6,0.4,0.4,4.6,2.8,29,NA
7,Rui Hachimura,27,LAL,PF,5,5,181,6.6,10.9,0.6,1.6,4,0.4,5,7,0.714,0.673,1.8,2.4,0.75,0.8,3.2,4,2,0.4,0.2,1.8,2.4,16.5,NA
8,Paolo Banchero,23,ORL,PF,5,5,180,7,17.4,0.402,0.6,3.8,0.158,6.4,13.6,0.471,0.42,8.4,11.2,0.75,1.2,7.8,9,3,0.6,1.4,2.8,2.4,23,NA
9,Grayson Allen,30,PHO,SG,5,5,176,5.5,13.3,0.415,3.5,9.2,0.378,2,4.1,0.5,0.546,2.7,3.1,0.867,0.6,2.5,3.1,5.3,0.8,0.2,2.5,3.1,17.2,NA
10,Cade Cunningham,24,DET,PG,5,5,176,7.8,19.6,0.396,1.6,6.8,0.242,6.1,12.9,0.476,0.438,5.5,6.8,0.818,1.2,4.5,5.7,8.4,0.8,1.2,4.5,3.7,22.7,NA
11,Julius Randle,31,MIN,PF,5,5,176,9.2,16.8,0.549,2.7,5.7,0.464,6.5,11,0.593,0.628,6.1,7.6,0.811,1,5.5,6.5,5.5,1.2,0.4,2.3,2.3,27.2,NA
12,Franz Wagner,24,ORL,SF,5,5,175,8.2,15.4,0.533,1.6,3.9,0.421,6.6,11.5,0.571,0.587,4.9,7,0.706,1,4.7,5.8,3.1,1,0.4,2.1,3.5,23,NA
13,Deandre Ayton,27,LAL,C,5,5,172,8,12.8,0.623,0,0,NA,8,12.8,0.623,0.623,0.8,2.1,0.4,3.3,6.5,9.8,1.5,0.8,1,2.9,3.6,16.7,NA
14,Tyrese Maxey,25,PHI,PG,4,4,172,9.6,21.1,0.455,3.8,8,0.474,5.9,13.2,0.444,0.545,8.4,9.6,0.87,0.2,2.9,3.1,6.9,0.8,0.6,1.7,2.5,31.4,NA
15,Derrick White,31,BOS,SG,5,5,171,5.9,18.9,0.311,2.9,11.8,0.25,2.9,7.2,0.412,0.389,3.2,3.4,0.938,0.6,3.4,4,4.6,1.5,1.1,1.1,2.1,17.9,NA
16,Evan Mobley,24,CLE,PF,5,5,169,6.4,15.3,0.417,1.9,6.4,0.3,4.5,8.9,0.5,0.479,4.9,6.8,0.719,2.1,7.7,9.8,4.9,1.7,2.1,2.8,2.8,19.6,NA
